"","名稱","地址","服務","latitude","longitude"
"23","老爺皇家SPA舒壓會館(舊紫金城)","542台灣南投縣草屯鎮中正路1358號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",23.995405004358,120.6891119949
"24","泰陽花養生會館","542台灣南投縣草屯鎮中正路1386號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽",23.996388997881,120.689430004307
"25","丹陽泰中式養身館","325台灣桃園市龍潭區中豐路281號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩泰式古法台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩芳療SPA泰式SPA被動式瑜伽踩背",24.87768798828,121.211718964023
"26","泰美地泰式紓壓養生館","235台灣新北市中和區明仁街13號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩泰式古法休閒舒壓經絡按摩精油按摩芳療SPA泰式SPA被動式瑜伽踩背",24.995647014582,121.506096013592
"27","和緣經絡推拿","710台灣台南市永康區永大路二段978號","全身按摩半身按摩腳底按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",23.016887001235,120.263176029671
"28","小師妹男女養生會館","320台灣桃園市中壢區中山東路二段299號","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩局部護理臉部護膚足湯芳療SPA美容SPA泰式SPA薰香耳燭除毛洗頭",24.950438381615,121.24191066308
"29","中壢人養身按摩會館","320台灣桃園市中壢區裕民街26號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿精油按摩芳療SPA泰式SPA",24.957720704823,121.224933704932
"30","伊之村足湯養身行館","710台灣台南市永康區中正北路92號","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩足湯芳療SPA薰香耳燭",23.041371001416,120.241303034239
"31","樂陽健康工房","351台灣苗栗縣頭份市288 建國路二段","全身按摩半身按摩肩頸按摩背部按摩指壓日式按摩台式按摩中式按摩運動按摩經絡按摩中式推拿拔罐刮痧局部護理筋骨整復",24.694448604572,120.900202934118
"32","佳蓓紅SPA養生館","806台灣高雄市前鎮區光華二路278號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩芳療SPA泰式SPA被動式瑜伽踩背",22.614445007692,120.318297017514
"33","金邊泰式按摩養生館","242台灣新北市新莊區思源路253號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩泰式古法休閒舒壓經絡按摩精油按摩芳療SPA泰式SPA被動式瑜伽踩背",25.047448098216,121.459655492315
"34","小女神養生館","807台灣高雄市三民區建國二路45號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",22.637169981672,120.312151992839
"35","梅萍指壓養生推拿","606台灣嘉義縣中埔鄉中華路597號","全身按摩肩頸按摩背部按摩指壓台式按摩中式按摩經絡按摩中式推拿",23.445127989838,120.456902012442
"36","珊妮越式養生館","303台灣新竹縣湖口鄉中華路62號二樓","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",24.873474196006,121.010813629725
"37","越漂亮養生館","303台灣新竹縣湖口鄉中華路64號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",24.873522517678,121.010845816234
"38","晶悅足體健康會館-太保店","612台灣嘉義縣太保市中興路一段1-2號","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩修凍甲修腳皮足湯",23.496627199229,120.384213226095
"39","紅閣樓SPA美容會館","648台灣雲林縣西螺鎮振興路49-1號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",23.7789143,120.4500479
